timestamp,source_ip,failed_attempts,request_count,unusual_hour,network_activity
2026-08-20 09:00:00,192.168.1.10,0,10,0,20
2026-08-20 10:00:00,192.168.1.11,1,15,0,25
2026-08-20 11:00:00,192.168.1.12,0,12,0,18
2026-08-20 12:00:00,192.168.1.13,1,20,0,30
2026-08-20 14:00:00,192.168.1.14,0,8,0,15
2026-08-20 16:00:00,192.168.1.15,2,18,0,28
2026-08-20 02:30:00,192.168.1.50,15,200,1,500
2026-08-20 03:00:00,192.168.1.51,20,300,1,700
2026-08-20 01:20:00,192.168.1.52,30,500,1,1000
2026-08-20 04:10:00,192.168.1.53,25,400,1,900
